Spotify-Song,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,y
https://open.spotify.com/track/4dyx5SzxPPaD8xQIid5Wjj,0.699,0.812,0,-6.005,0.0377,0.0164,0.000763,0.105,138.185,0.662,1
https://open.spotify.com/track/7zwn1eykZtZ5LODrf7c0tS,0.551,0.881,7,-6.099,0.0542,0.186,0.0791,0.152,88.036,0.387,-1
https://open.spotify.com/track/0eNfURq0r0oNSwFyw1VuVT,0.522,0.957,2,-4.924,0.0687,0.0515,0.0014,0.144,170.91,0.917,1
https://open.spotify.com/track/73vIOb4Q7YN6HeJTbscRx5,0.587,0.742,6,-6.64,0.0529,0.0128,0.00107,0.146,145.007,0.199,-1
https://open.spotify.com/track/4pH8cIlMI9NrTWcDiQbuRe,0.527,0.66,0,-10.692,0.0877,0.0141,0.0185,0.156,173.979,0.283,1
https://open.spotify.com/track/0cQVqPuHQP4KEwc7ZUQmj6,0.613,0.808,10,-2.851,0.0346,0.0426,0.0159,0.102,124.037,0.38,1
https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,0.0747,0.00121,0,0.0995,148.033,0.236,1
https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4,-3.188,0.0698,0.00721,2.06E-06,0.242,94.612,0.296,-1
https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,0.0719,0.00076,0.0049,0.361,122.961,0.172,1
https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0.0584,0.00958,0,0.209,105.143,0.4,-1
https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,0.0493,0.299,0,0.367,121.932,0.415,1
https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,0.705,0.712,6,-6.156,0.0385,0.0102,0.000855,0.1,97.512,0.62,1
https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,10,-4.851,0.0836,9.04E-05,0.000674,0.101,138.081,0.689,-1
https://open.spotify.com/track/1sTsuZTdANkiFd7T34H3nb,0.557,0.8,10,-8.477,0.0601,0.00132,0.0012,0.0906,135.47,0.582,1
https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,11,-5.881,0.032,0.0395,0,0.0861,104.019,0.776,1
https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,0.0619,0.00701,0,0.257,128.038,0.619,1
